; CHARGES FOR THE POLARIZED COMPLEX WITH 1 K+ BOUND

[ moleculetype ]
; Name            nrexcl
CRO                 3
[ atoms ]
;   nr       type  resnr residue  atom   cgnr   charge  
     1   opls_918      1    CRO     C1      1   0.319628             
     2   opls_145      1    CRO     C2      2   0.024349             
     3   opls_908      1    CRO     C3      3   0.028585                 
     4   opls_902      1    CRO     N1      4  -0.562893             
     5   opls_918      1    CRO     C4      5   0.197105             
     6   opls_145      1    CRO     C5      6   0.170729             
     7   opls_908      1    CRO     C6      7  -0.097002                 
     8   opls_902      1    CRO     N2      8  -0.545085             
     9   opls_145      1    CRO     C7      9  -0.210772             
    10   opls_145      1    CRO     C8     10  -0.505989             
    11   opls_145      1    CRO     C9     11  -0.380192             
    12   opls_145      1    CRO    C10     12  -0.315900             
    13   opls_908      1    CRO    C11     13  -0.027256             
    14   opls_182      1    CRO    C12     14   0.036921            
    15   opls_180      1    CRO     O1     14  -0.344848             
    16   opls_180      1    CRO     O2     14  -0.475788             
    17   opls_182      1    CRO    C13     15  -0.037231            
    18   opls_180      1    CRO     O3     15  -0.429012             
    19   opls_182      1    CRO    C14     16   0.021174            
    20   opls_182      1    CRO    C15     17   0.221412             
    21   opls_180      1    CRO     O4     17  -0.494263             
    22   opls_182      1    CRO    C16     18   0.118104            
    23   opls_182      1    CRO    C17     19   0.097770            
    24   opls_166      1    CRO    C18     20   0.417193                
    25   opls_166      1    CRO    C19     21   0.077040                
    26   opls_180      1    CRO     O5     21  -0.461174             
    27   opls_182      1    CRO    C20     22  -0.006118             
    28   opls_182      1    CRO    C21     23   0.399208            
    29   opls_180      1    CRO     O6     23  -0.551312             
    30   opls_182      1    CRO    C22     24   0.057299            
    31   opls_182      1    CRO    C23     25   0.145837            
    32   opls_182      1    CRO    C24     26   0.051722            
    33   opls_180      1    CRO     O7     26  -0.261465             
    34   opls_180      1    CRO     O8     26  -0.398094             
    35   opls_182      1    CRO    C25     27   0.034958            
    36   opls_180      1    CRO     O9     27  -0.205032             
    37   opls_182      1    CRO    C26     28  -0.012669            
    38   opls_182      1    CRO    C27     29   0.022799            
    39   opls_180      1    CRO    O10     29  -0.472244             
    40   opls_182      1    CRO    C28     30   0.113732             
    41   opls_182      1    CRO    C29     31  -0.033741            
    42   opls_166      1    CRO    C30     32   0.148626                
    43   opls_166      1    CRO    C31     33   0.286789                
    44   opls_180      1    CRO    O11     33  -0.504313             
    45   opls_182      1    CRO    C32     34   0.407862            
    46   opls_182      1    CRO    C33     35  -0.297175            
    47   opls_180      1    CRO    O12     35  -0.229383             
    48   opls_182      1    CRO    C34     36  -0.073477            
    49   opls_182      1    CRO    C35     37   0.076452            
    50   opls_911      1    CRO     H1     37   0.105756            
    51   opls_911      1    CRO     H2     37   0.116947            
    52   opls_911      1    CRO     H3     37   0.133519            
    53   opls_911      1    CRO     H4     37   0.146217            
    54   opls_911      1    CRO     H5     37   0.163918            
    55   opls_911      1    CRO     H6     37   0.192907            
    56   opls_185      1    CRO     H7     37   0.203230            
    57   opls_185      1    CRO     H8     37   0.156733            
    58   opls_185      1    CRO     H9     37   0.170582            
    59   opls_185      1    CRO    H10     37   0.177139            
    60   opls_185      1    CRO    H11     37   0.091022            
    61   opls_185      1    CRO    H12     37   0.101599            
    62   opls_185      1    CRO    H13     37   0.126456            
    63   opls_185      1    CRO    H14     37   0.111274            
    64   opls_185      1    CRO    H15     37   0.060521            
    65   opls_185      1    CRO    H16     37   0.093456            
    66   opls_185      1    CRO    H17     37   0.032557            
    67   opls_185      1    CRO    H18     37   0.060553            
    68   opls_185      1    CRO    H19     37   0.062089            
    69   opls_185      1    CRO    H20     37   0.064702            
    70   opls_185      1    CRO    H21     37   0.051349            
    71   opls_185      1    CRO    H22     37   0.073903            
    72   opls_185      1    CRO    H23     37   0.107803            
    73   opls_185      1    CRO    H24     37   0.085448            
    74   opls_185      1    CRO    H25     37   0.001538            
    75   opls_185      1    CRO    H26     37  -0.000791            
    76   opls_185      1    CRO    H27     37   0.067690            
    77   opls_185      1    CRO    H28     37   0.071167            
    78   opls_185      1    CRO    H29     37   0.047640            
    79   opls_185      1    CRO    H30     37   0.083575            
    80   opls_185      1    CRO    H31     37   0.092808            
    81   opls_185      1    CRO    H32     37   0.097713            
    82   opls_185      1    CRO    H33     37   0.077247            
    83   opls_185      1    CRO    H34     37   0.099061            
    84   opls_185      1    CRO    H35     37   0.085785            
    85   opls_185      1    CRO    H36     37   0.085491            
    86   opls_185      1    CRO    H37     37   0.103721            
    87   opls_185      1    CRO    H38     37   0.076035            
    88   opls_185      1    CRO    H39     37   0.086098            
    89   opls_185      1    CRO    H40     37   0.054500            
    90   opls_185      1    CRO    H41     37   0.089722            
    91   opls_185      1    CRO    H42     37   0.078112            
    92   opls_185      1    CRO    H43     37  -0.136478            
    93   opls_185      1    CRO    H44     37   0.045080            
    94   opls_185      1    CRO    H45     37   0.159270            
    95   opls_185      1    CRO    H46     37   0.157019            
    96   opls_146      1    CRO    H47     37   0.106321            
    97   opls_146      1    CRO    H48     37   0.117624            
    98   opls_146      1    CRO    H49     37   0.094397            
    99   opls_146      1    CRO    H50     37   0.078068            
